,Unnamed: 0,id,host_is_superhost,host_identity_verified,bedrooms,beds,accommodates,number_of_reviews,review_scores_rating,reviews_per_month,amenities_count,host_listings_count,instant_bookable,reviews_per_month.1,price,predicted
1344,5452,11934747,0,1,1.0,1.0,2,11,96.0,0.2,21,1.0,0,0.2,130,129.26608831901063
1345,5457,11941128,0,1,1.0,1.0,2,9,98.0,0.17,6,2.0,0,0.17,80,108.556165963616
1346,5464,11962953,0,1,1.0,3.0,4,38,99.0,0.7,9,1.0,0,0.7,245,152.04799037179504
1347,5467,11966081,1,0,1.0,1.0,2,48,98.0,0.93,27,1.0,0,0.93,130,127.13829147790324
1348,5469,11968808,0,1,1.0,2.0,4,1,100.0,0.02,8,2.0,0,0.02,150,159.86391569138482
1349,5471,11974897,0,1,2.0,2.0,4,2,100.0,0.04,17,2.0,0,0.04,150,192.77170928819874
1350,5476,12002357,0,0,1.0,1.0,2,22,89.0,0.41,0,1.0,1,0.41,120,96.34432351827667
1351,5477,12004619,0,0,2.0,2.0,4,0,0.0,0.0,8,2.0,0,0.0,200,186.02322094694955
1352,5479,12015121,0,1,2.0,2.0,4,5,92.0,0.1,9,1.0,0,0.1,160,180.6944010064779
1353,5489,12037039,0,1,2.0,6.0,4,13,95.0,0.24,23,1.0,0,0.24,90,191.6484287493081
1354,5500,12078477,0,1,0.0,1.0,2,4,80.0,0.07,5,1.0,0,0.07,58,88.62614601278848
1355,5507,12085996,0,1,1.0,1.0,2,5,96.0,0.09,12,1.0,0,0.09,122,117.47872029660141
1356,5513,12101925,0,1,1.0,2.0,2,20,98.0,0.37,20,1.0,0,0.37,119,124.13231175286536
1357,5514,12102884,0,1,1.0,1.0,2,5,100.0,0.11,16,1.0,0,0.11,59,122.7838096839753
1358,5515,12103761,0,0,2.0,1.0,2,3,93.0,0.06,21,1.0,1,0.06,75,149.87678685774043
1359,5523,12117800,0,1,1.0,1.0,2,8,98.0,0.15,17,1.0,0,0.15,75,123.91281835077929
1360,5525,12118316,0,0,2.0,2.0,3,24,96.0,0.44,27,1.0,0,0.44,100,176.61432407004492
1361,5527,12120703,0,1,1.0,3.0,3,17,98.0,0.31,26,1.0,0,0.31,147,155.93350507543994
1362,5543,12145626,0,1,2.0,2.0,4,25,76.0,0.46,10,100.0,0,0.46,259,240.81273274988388
1363,5546,12151249,0,1,0.0,1.0,2,192,90.0,3.5,10,0.0,1,3.5,69,60.25984203324461
1364,5548,12161537,0,1,2.0,1.0,3,23,96.0,0.64,23,1.0,0,0.64,425,173.1431657558232
1365,5558,12172233,0,0,1.0,1.0,2,21,95.0,0.38,17,1.0,0,0.38,100,120.12992077200346
1366,5559,12178294,0,0,1.0,1.0,2,25,91.0,0.46,0,1.0,1,0.46,97,95.68424287863566
1367,5561,12180517,0,0,1.0,1.0,2,0,0.0,0.0,13,1.0,0,0.0,125,125.29293472532679
1368,5564,12187238,0,1,1.0,1.0,2,36,94.0,0.66,18,1.0,0,0.66,70,120.50108224780482
1369,5565,12195395,0,1,1.0,1.0,2,19,97.0,0.35,12,1.0,0,0.35,97,114.80375855879366
1370,5572,12205686,1,0,1.0,1.0,2,60,97.0,1.12,27,1.0,0,1.12,95,125.20946400332613
1371,5575,12207885,0,1,3.0,3.0,4,4,100.0,0.12,14,1.0,1,0.12,140,205.9534623033298
1372,5577,12215171,0,0,2.0,2.0,4,0,0.0,0.0,11,1.0,0,0.0,180,189.71708794053592
1373,5578,12215990,0,0,1.0,1.0,2,2,100.0,0.19,20,0.0,1,0.19,145,126.30780700368507
1374,5579,12216213,0,1,1.0,1.0,2,224,98.0,4.11,19,1.0,0,4.11,100,86.9171683334049
1375,5583,12228450,0,1,1.0,1.0,2,2,100.0,0.04,9,2.0,0,0.04,50,114.02604448402654
1376,5587,12245145,0,0,1.0,1.0,2,22,95.0,0.41,15,1.0,0,0.41,110,117.00414287090908
1377,5598,12262816,0,1,2.0,3.0,4,31,94.0,0.57,22,1.0,0,0.57,73,192.57504693450176
1378,5600,12267389,0,0,1.0,1.0,2,2,90.0,0.05,20,0.0,0,0.05,160,127.5740877190713
1379,5606,12278972,0,0,2.0,3.0,6,2,100.0,0.04,13,1.0,0,0.04,160,231.85951665999653
1380,5608,12279864,0,1,1.0,1.0,2,2,100.0,0.04,12,1.0,0,0.04,180,117.71189575656521
1381,5612,12285498,1,1,2.0,2.0,4,20,98.0,0.37,42,1.0,0,0.37,135,223.09120588707577
1382,5616,12297082,0,1,1.0,1.0,1,2,90.0,0.04,15,1.0,0,0.04,35,98.27886508310092
1383,5621,12298826,0,0,1.0,1.0,2,10,96.0,0.19,12,1.0,0,0.19,75,114.84666135492152
1384,5624,12307757,0,1,1.0,1.0,3,0,0.0,0.0,9,1.0,0,0.0,70,145.7066257711939
1385,5628,12319764,0,1,1.0,1.0,4,55,99.0,1.01,24,1.0,0,1.01,236,174.1746309921848
1386,5631,12331158,0,1,0.0,3.0,4,2,0.0,0.2,19,2.0,0,0.2,89,159.75008730616509
1387,5636,12347938,0,1,2.0,4.0,4,13,93.0,0.24,32,1.0,0,0.24,125,208.4462990106054
1388,5642,12360818,0,1,2.0,2.0,4,4,95.0,0.08,11,1.0,1,0.08,185,183.9628427808483
