,beds,accommodates,price
547,2.0,5,$280.00
548,2.0,2,$127.00
549,1.0,2,$100.00
550,1.0,2,$84.00
551,4.0,4,$200.00
552,1.0,2,$120.00
553,10.0,8,$376.00
554,1.0,2,$130.00
555,5.0,4,$525.00
556,1.0,2,$135.00
557,0.0,4,$100.00
558,5.0,5,$500.00
559,2.0,2,$96.00
560,3.0,4,$221.00
561,4.0,6,$217.00
562,1.0,4,$260.00
563,1.0,2,$79.00
564,1.0,2,$80.00
565,2.0,3,$60.00
566,1.0,4,$120.00
567,2.0,4,$75.00
568,1.0,3,$100.00
569,1.0,2,$148.00
570,1.0,4,$250.00
571,1.0,2,$96.00
572,1.0,2,$200.00
573,2.0,4,$90.00
574,1.0,2,$180.00
575,1.0,2,$128.00
576,2.0,4,$200.00
577,0.0,2,$69.00
578,3.0,2,$69.00
579,1.0,2,$95.00
580,1.0,2,$155.00
581,1.0,2,$99.00
582,4.0,4,$195.00
583,3.0,4,$175.00
584,1.0,2,$116.07
585,1.0,2,$120.00
586,1.0,2,$57.00
587,1.0,2,$80.00
588,1.0,2,$60.00
589,0.0,3,$194.00
590,1.0,2,$120.00
591,1.0,2,$116.00
592,4.0,5,$250.00
593,1.0,2,$41.00
594,3.0,4,$200.00
595,2.0,4,$320.00
596,1.0,2,$185.00
597,1.0,2,$85.00
598,2.0,4,$202.00
599,1.0,2,$131.00
600,1.0,2,$76.00
601,1.0,2,$99.00
602,2.0,2,$69.00
603,1.0,2,$102.00
604,8.0,8,$270.00
605,3.0,4,$201.00
606,1.0,2,$149.00
607,1.0,2,$145.00
608,2.0,4,$124.00
609,4.0,4,$180.00
610,1.0,2,$102.00
611,2.0,3,$58.00
612,1.0,2,$80.00
613,2.0,3,$100.00
614,4.0,4,$64.00
615,1.0,2,$75.00
616,1.0,2,$100.00
617,2.0,2,$110.00
618,2.0,4,$199.00
619,4.0,4,$300.00
620,2.0,3,$138.57
621,2.0,4,$241.00
622,4.0,4,$295.00
623,4.0,4,$245.00
624,2.0,4,$126.00
625,1.0,2,$160.00
626,1.0,2,$88.00
627,1.0,2,$80.00
628,1.0,2,$120.00
629,1.0,2,$150.00
630,1.0,2,$50.00
631,5.0,4,$275.00
632,1.0,2,$120.00
633,2.0,4,$140.00
634,2.0,3,$89.00
635,3.0,4,$228.00
636,1.0,2,$129.00
637,1.0,2,$125.00
638,2.0,4,$210.00
639,3.0,5,$200.00
640,4.0,4,$224.00
641,1.0,2,$82.00
642,2.0,4,$52.00
643,2.0,3,$120.00
644,1.0,2,$150.00
645,4.0,4,$126.00
646,5.0,4,$100.00
647,0.0,2,$130.00
648,1.0,2,$80.00
649,1.0,2,$100.00
650,3.0,4,$80.00
651,1.0,3,$140.00
652,4.0,4,$270.00
653,1.0,2,$130.00
654,2.0,2,$129.00
655,1.0,2,$97.86
656,4.0,4,$97.00
657,1.0,2,$99.00
658,4.0,4,$149.00
659,3.0,4,$145.00
660,2.0,4,$241.00
661,1.0,2,$95.00
662,4.0,4,$468.00
663,6.0,6,$579.00
664,6.0,6,$650.00
665,2.0,4,$179.00
666,6.0,7,$679.00
667,1.0,2,$160.00
668,3.0,2,$169.00
669,3.0,4,$510.00
670,3.0,4,$280.00
671,1.0,2,$124.00
672,1.0,2,$56.00
673,3.0,4,$260.00
674,3.0,4,$180.00
675,1.0,2,$119.00
676,1.0,2,$90.00
677,0.0,2,$72.00
678,1.0,2,$139.29
679,1.0,2,$170.00
680,5.0,4,$225.00
681,2.0,3,$250.00
682,5.0,5,$399.00
683,1.0,2,$99.00
684,2.0,4,$199.00
685,3.0,3,$126.00
686,2.0,4,$250.00
687,4.0,4,$200.00
688,1.0,2,$56.00
689,3.0,4,$250.00
690,2.0,4,$140.00
691,1.0,2,$90.00
692,2.0,4,$175.00
693,0.0,5,$260.00
694,1.0,2,$79.00
695,0.0,2,$225.00
696,2.0,3,$89.00
697,2.0,3,$100.00
698,1.0,2,$89.00
699,1.0,2,$125.00
700,2.0,2,$119.00
701,2.0,2,$69.00
702,2.0,2,$79.00
703,3.0,4,$170.00
704,3.0,4,$149.00
705,1.0,2,$225.00
706,2.0,4,$250.00
707,1.0,3,$199.00
708,1.0,2,$231.00
709,2.0,4,$250.00
710,2.0,4,$135.00
711,2.0,4,$595.00
712,0.0,4,$185.00
713,6.0,6,$500.00
714,1.0,2,$65.00
715,1.0,2,$90.00
716,2.0,4,$180.00
717,1.0,2,$76.00
718,1.0,2,$99.00
719,2.0,3,$80.00
720,3.0,4,$175.00
721,4.0,4,$400.00
722,2.0,4,$130.00
723,3.0,4,$170.00
724,7.0,4,$150.00
725,1.0,2,$124.00
726,1.0,2,$64.00
727,0.0,2,$95.00
728,1.0,1,$59.00
729,2.0,4,$150.00
730,2.0,4,$404.00
731,1.0,2,$125.00
732,2.0,4,$125.00
733,1.0,2,$223.00
734,1.0,1,$123.00
735,1.0,2,$85.00
736,1.0,2,$135.00
737,1.0,2,$95.00
